collect.....= UnicornPy_2020.01.07.1
device......= UN-2019.05.51
samplerate..= 250.000
channels....= 16
date........= 2020-01-09T13:29:30.525524
filename....= recordeddata
FZ, C3, CZ, C4, PZ, O1, OZ, O2, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, Battery, Sample
3637.255,3625.364,3627.510,3616.781,3629.387,3627.062,3621.519,3627.331,0.003,1.021,0.085,-0.519,1.770,0.610,66.667,42.000
3637.613,3626.347,3628.851,3617.854,3630.102,3628.046,3622.681,3628.493,0.003,1.021,0.086,-0.580,1.740,0.519,66.667,43.000
3638.685,3627.152,3630.013,3619.105,3631.354,3629.029,3624.023,3629.119,0.000,1.021,0.083,-0.610,1.678,0.549,66.667,44.000
3639.401,3628.404,3631.533,3620.089,3632.427,3630.460,3624.827,3630.013,0.001,1.021,0.084,-0.671,1.709,0.641,66.667,45.000
3640.116,3629.119,3632.427,3620.715,3633.053,3631.443,3625.721,3631.533,0.002,1.021,0.087,-0.793,1.709,0.610,66.667,46.000
3641.457,3630.371,3633.231,3621.072,3633.142,3631.890,3626.884,3632.248,0.003,1.019,0.085,-0.793,1.648,0.580,66.667,47.000
3642.351,3630.996,3634.394,3621.251,3634.125,3633.321,3627.867,3632.784,0.001,1.019,0.085,-0.824,1.709,0.641,66.667,48.000
3642.977,3631.533,3635.556,3622.413,3634.304,3634.215,3629.119,3633.768,0.000,1.020,0.086,-0.763,1.678,0.671,66.667,49.000
3643.692,3632.337,3636.450,3623.576,3635.198,3634.662,3629.745,3633.768,0.004,1.018,0.087,-0.641,1.648,0.641,66.667,50.000
3644.407,3633.142,3636.987,3624.291,3635.914,3635.198,3630.192,3634.483,0.005,1.019,0.087,-0.702,1.740,0.610,66.667,51.000
3644.497,3633.768,3637.791,3624.201,3636.808,3636.093,3630.907,3635.556,0.004,1.018,0.088,-0.702,1.770,0.641,66.667,52.000
3645.927,3634.215,3638.507,3625.274,3637.434,3637.166,3632.248,3636.271,0.001,1.019,0.086,-0.671,1.831,0.702,66.667,53.000
3646.643,3635.109,3639.401,3625.811,3637.613,3637.970,3632.516,3637.255,0.004,1.019,0.089,-0.610,1.831,0.671,66.667,54.000
3647.000,3636.093,3639.848,3626.258,3637.881,3638.149,3633.231,3637.881,0.004,1.018,0.087,-0.458,1.831,0.519,66.667,55.000
3647.626,3636.719,3640.473,3626.705,3638.775,3638.685,3634.215,3637.702,0.004,1.018,0.086,-0.458,1.740,0.397,66.667,56.000
3648.520,3636.987,3641.010,3627.510,3639.132,3638.417,3634.662,3638.328,0.004,1.017,0.084,-0.427,1.740,0.427,66.667,57.000
3648.520,3636.987,3642.262,3627.867,3639.222,3639.222,3634.930,3638.954,0.006,1.020,0.085,-0.366,1.831,0.397,66.667,58.000
3649.504,3637.702,3642.798,3628.404,3640.026,3639.937,3635.646,3639.401,0.003,1.020,0.086,-0.336,1.923,0.336,66.667,59.000
2404.333,2393.782,2398.074,2383.679,2395.481,2394.945,2391.458,2395.034,0.002,1.019,0.087,-0.336,1.862,0.183,66.667,60.000
-2586.008,-2593.607,-2590.567,-2604.694,-2591.998,-2594.770,-2597.630,-2593.875,0.002,1.020,0.086,-0.427,1.831,0.092,66.667,61.000
-3835.202,-3842.354,-3839.583,-3853.530,-3841.013,-3844.143,-3847.272,-3842.891,0.003,1.021,0.088,-0.427,1.831,0.153,66.667,62.000
-3834.844,-3841.997,-3839.672,-3853.799,-3840.566,-3843.159,-3846.288,-3842.444,0.001,1.021,0.085,-0.488,1.831,0.214,66.667,63.000
-3834.755,-3841.192,-3839.225,-3853.173,-3840.298,-3842.623,-3845.573,-3842.176,0.000,1.021,0.085,-0.488,1.923,0.336,66.667,64.000
-3834.576,-3841.013,-3838.778,-3852.279,-3839.583,-3842.354,-3845.484,-3841.729,0.001,1.020,0.086,-0.549,1.831,0.366,66.667,65.000
-3833.950,-3841.013,-3838.331,-3852.189,-3839.225,-3842.444,-3844.858,-3841.907,-0.000,1.020,0.087,-0.549,1.770,0.366,66.667,66.000
-3833.682,-3840.745,-3837.884,-3852.279,-3838.778,-3842.086,-3844.232,-3841.907,0.000,1.019,0.088,-0.610,1.801,0.519,66.667,67.000
-3833.414,-3840.298,-3837.795,-3851.653,-3839.046,-3841.907,-3844.232,-3841.371,0.002,1.020,0.089,-0.641,1.801,0.610,66.667,68.000
-3833.414,-3840.656,-3837.258,-3851.206,-3838.957,-3841.729,-3844.232,-3840.656,0.000,1.019,0.088,-0.671,1.678,0.702,66.667,69.000
-3833.056,-3840.387,-3837.437,-3850.848,-3838.599,-3841.729,-3843.964,-3840.030,0.000,1.019,0.088,-0.610,1.648,0.824,66.667,70.000
-3832.520,-3839.851,-3836.901,-3850.669,-3838.152,-3841.103,-3843.517,-3839.940,0.001,1.019,0.086,-0.702,1.678,0.824,66.667,71.000
-3832.698,-3839.046,-3836.364,-3850.490,-3837.616,-3840.834,-3843.249,-3839.315,0.002,1.018,0.085,-0.763,1.648,0.854,66.667,72.000
-3832.162,-3839.046,-3835.917,-3850.133,-3836.901,-3840.119,-3842.712,-3839.225,0.002,1.020,0.088,-0.763,1.617,0.885,66.667,73.000
-3831.804,-3838.868,-3835.560,-3849.596,-3837.258,-3840.209,-3842.354,-3838.868,0.004,1.022,0.088,-0.824,1.709,0.854,66.667,74.000
-3831.626,-3838.778,-3835.470,-3849.328,-3837.169,-3839.762,-3841.907,-3838.599,0.003,1.021,0.086,-0.793,1.709,0.763,66.667,75.000
-3831.268,-3838.331,-3835.470,-3849.239,-3836.632,-3839.136,-3841.729,-3838.689,0.001,1.021,0.087,-0.824,1.587,0.763,66.667,76.000
-3830.821,-3838.063,-3835.023,-3848.970,-3836.632,-3838.778,-3841.729,-3838.689,0.001,1.019,0.086,-0.793,1.617,0.671,66.667,77.000
-3830.731,-3838.331,-3834.755,-3848.702,-3836.543,-3838.778,-3841.550,-3838.510,0.002,1.019,0.088,-0.732,1.801,0.519,66.667,78.000
-3830.642,-3837.974,-3834.308,-3848.523,-3836.096,-3838.599,-3840.834,-3838.242,0.004,1.018,0.087,-0.702,1.831,0.397,66.667,79.000
-3830.553,-3837.705,-3834.576,-3848.434,-3836.185,-3838.868,-3840.656,-3837.705,0.002,1.017,0.090,-0.610,1.831,0.244,66.667,80.000
-3830.284,-3837.526,-3834.308,-3847.898,-3835.828,-3838.778,-3840.834,-3837.705,0.003,1.018,0.089,-0.580,1.801,0.336,66.667,81.000
-3830.284,-3837.079,-3833.861,-3848.076,-3835.381,-3838.599,-3840.656,-3837.437,0.003,1.019,0.088,-0.488,1.801,0.366,66.667,82.000
-3829.659,-3837.079,-3833.771,-3848.076,-3835.649,-3838.152,-3840.387,-3837.526,0.002,1.018,0.089,-0.458,1.892,0.305,66.667,83.000
-3828.943,-3836.811,-3833.324,-3847.719,-3835.828,-3837.526,-3840.119,-3837.169,0.002,1.019,0.087,-0.458,1.801,0.336,66.667,84.000
-3829.390,-3836.275,-3833.324,-3847.719,-3835.470,-3837.258,-3839.583,-3836.811,0.000,1.018,0.089,-0.336,1.862,0.305,66.667,85.000
-3829.569,-3836.364,-3833.235,-3847.361,-3835.291,-3837.348,-3839.583,-3836.811,0.001,1.021,0.089,-0.366,1.984,0.244,66.667,86.000
-3829.659,-3836.632,-3833.056,-3846.914,-3834.844,-3837.169,-3839.851,-3836.811,0.003,1.022,0.086,-0.397,1.892,0.183,66.667,87.000
-3829.390,-3836.185,-3832.967,-3846.914,-3834.576,-3836.811,-3839.493,-3836.275,0.000,1.022,0.085,-0.458,1.892,0.275,66.667,88.000
-3828.943,-3836.096,-3832.877,-3846.646,-3834.934,-3836.364,-3839.225,-3836.454,0.001,1.021,0.084,-0.488,1.740,0.305,66.667,89.000
-3828.765,-3836.364,-3832.609,-3846.646,-3834.844,-3836.632,-3839.046,-3836.364,0.001,1.022,0.084,-0.580,1.770,0.336,66.667,90.000
