collect.....= UnicornPy_2020.05.30.0
device......= UN-2019.05.51
samplerate..= 250.000
channels....= 16
date........= 2020-06-24T11:05:15.097741
filename....= Raw\example626
FZ, C3, CZ, C4, PZ, O1, OZ, O2, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, Battery, Sample
-117.749,-127.852,-110.060,-137.061,-73.761,-119.269,-140.011,-117.838,0.555,0.771,0.434,-0.488,1.770,0.519,73.333,56.000
-117.213,-127.137,-109.524,-136.524,-73.671,-118.822,-139.207,-117.123,0.557,0.772,0.433,-0.458,1.831,0.427,73.333,57.000
-116.408,-126.600,-108.987,-135.720,-73.224,-118.375,-138.134,-116.587,0.554,0.771,0.434,-0.488,1.801,0.397,73.333,58.000
-115.693,-126.421,-108.719,-134.915,-72.956,-117.928,-137.419,-116.318,0.554,0.769,0.436,-0.519,1.740,0.488,73.333,59.000
-114.888,-125.796,-108.361,-134.647,-73.046,-117.570,-136.703,-115.871,0.553,0.770,0.435,-0.519,1.770,0.549,73.333,60.000
-114.530,-125.170,-108.093,-134.289,-72.956,-117.123,-135.988,-115.514,0.552,0.768,0.434,-0.610,1.709,0.549,73.333,61.000
-114.083,-124.812,-107.735,-133.842,-72.956,-116.766,-135.183,-115.246,0.552,0.770,0.436,-0.580,1.617,0.610,73.333,62.000
-113.636,-124.455,-107.467,-133.306,-72.420,-116.229,-134.736,-114.799,0.553,0.770,0.434,-0.549,1.556,0.610,73.333,63.000
-113.010,-123.918,-106.752,-132.591,-72.151,-115.961,-134.110,-114.441,0.555,0.771,0.436,-0.610,1.617,0.519,73.333,64.000
-112.742,-123.560,-106.394,-132.054,-72.151,-115.693,-133.485,-114.173,0.556,0.773,0.438,-0.610,1.648,0.702,73.333,65.000
-112.385,-123.292,-106.126,-131.696,-71.794,-115.067,-132.680,-113.636,0.555,0.771,0.436,-0.610,1.678,0.702,73.333,66.000
